Date,Pros,Cons,Advice to Management,Rating,Employement_status,Designation,Location,Work_Life_Bal,Culture_Values,Career_Opportunity,Compensation_Benefits,Senior Management
17-Apr-20,"job security
good teams
good learning scope",only hikes apart from that everything is fine,,5,Current Employee,Hadoop Developer,Chennai,,,,,
16-Apr-20,Work culture is good,Not as such to say,,4,Former Employee,IT Analyst,Pune,5,3,3,4,3
16-Apr-20,"Great environment
least work
work-personal life balanced","less salary
Higher management doesn't listen",,4,Current Employee,IT Analyst,,5,5,2,3,2
16-Apr-20,Good Work Life Balance Good place to start your career,Your experience depends upon your project. Less Hikes.,,4,Former Employee,Systems Engineer,Bangalore,5,5,5,3,4
16-Apr-20,loads of opportunities and rewards,Highly dense environment and less hikes,,4,Current Employee,Assistant Systems Engineer,Chennai,5,5,5,3,3
16-Apr-20,nice projects and work life balance,salary and increments is very low,,4,Current Employee,Senior Software Developer,"Gurgaon, Haryana",5,5,4,2,4
17-Apr-20,job security in it sector possible in this company,"salary is less, increments very slow",,4,Former Employee,Senior Software Engineer,Hyderābād,4,5,4,3,4
30-Apr-20,"Work life balance, flexible work hours","Compensation, Rewards, rigid policies, other benefits",,3,Current Employee,Delivery Manager,Hyderābād,4,4,3,3,4
30-Apr-20,"Facilities, locations, reputation, work-life balance","Compensation is less, learning opportunities are less",,3,Former Employee,Assistant Systems Engineer,Bangalore,3,3,3,2,3
30-Apr-20,Nothing is good about TCS,"Everything...No Hikes, Management makes unhealthy env.",,3,Former Employee,Chief Executive Officer,,5,4,2,2,2
30-Apr-20,"Facilities, locations, reputation, work-life balance","Compensation is less, learning opportunities are less",,3,Former Employee,Assistant Systems Engineer,Bangalore,3,3,3,2,3
30-Apr-20,Nothing is good about TCS,"Everything...No Hikes, Management makes unhealthy env.",Give Salry to Employess,3,Former Employee,Chief Executive Officer,,5,4,2,2,2
30-Apr-20,"Stability, Insurance Coverage for Parents.",Salary is not that Good.,,3,,Senior Process Analyst,Mumbai,4,3,3,3,2
30-Apr-20,Work life balance is good. You will learn and practice good ethics,Don't spend long time if you joined as fresher,,3,Former Employee,IT Analyst,Noida,4,5,3,3,4
01-May-20,Basic to good knowledge in any programing language is required,Resources are not managed properly,,3,Former Employee,Systems Engineer,Calcutta,3,2,3,2,2
15-Apr-20,It's quite flexible and not work pressure as such,I don't find any except salary increment,,5,Current Employee,Data Analyst,"Gurgaon, Haryana",5,,,,
15-Apr-20,"Work culture
Events & fun activities
Exposure to multiple clients & technologies",no significant cons in my experience,,5,Former Employee,Software Developer,Chennai,5,5,5,4,4
16-Apr-20,it has good work ethics and environment,lot of senior heirarchy which creates confusion,,5,Current Employee,Interaction Designer,,4,5,5,3,2
16-Apr-20,No work pressure and job security,Salary is very less and less hikes,,5,Former Employee,Systems Engineer,,,,,,
21-May-20,Good Policies. Although Not followed at ground level.,Forcing Staff to report to work during Covid-19,At least don't play with employees lives,1,Current Employee,Assistant Manager,,1,1,2,2,1
21-May-20,Good Policies. Although Not followed at ground level.,Forcing Staff to report to work during Covid-19,At least don't play with employees lives,1,Current Employee,Assistant Manager,,1,1,2,2,1
15-Apr-20,"If you are lucky, you get a good project in good technology, it's very good company to work on. Less work pressure.",Not a much growth as per financial basis.,Grant the hikes based on performance irrespective to Curve fitting,4,Current Employee,Spark Developer,Hyderābād,5,5,4,5,4
15-Apr-20,big name. very good opportunity if you are lucky enough or you can manage with big peoples.,"low salary ,slow promotion , high politics",,4,Current Employee,West Bengal,Kottayam,3,3,4,3,1
15-Apr-20,"work life balance, work pressure","managemwnt, poor managemnet culture, and so on",,4,Current Employee,Manager,Mumbai,,,,,
